liga,fase,mandante,visitante,gols_mandante,gols_visitante,placar,classificado
World Cup Qual. UEFA,Semifinals,Slovakia,Kosovo,3,4,3-4,Kosovo
World Cup Qual. UEFA,Semifinals,Czechia,Ireland,6,5,6-5,Czechia
World Cup Qual. UEFA,Semifinals,Wales,Bosnia & Herzegovina,3,5,3-5,Bosnia & Herzegovina
World Cup Qual. UEFA,Semifinals,Ukraine,Sweden,1,3,1-3,Sweden
World Cup Qual. UEFA,Semifinals,Denmark,North Macedonia,4,0,4-0,Denmark
World Cup Qual. UEFA,Semifinals,Poland,Albania,2,1,2-1,Poland
World Cup Qual. UEFA,Semifinals,Italy,Northern Ireland,2,0,2-0,Italy
World Cup Qual. UEFA,Final,Czechia,Denmark,5,3,5-3,Czechia
World Cup Qual. UEFA,Final,Sweden,Poland,3,2,3-2,Sweden
World Cup Qual. UEFA,Final,Kosovo,Türkiye,0,1,0-1,Türkiye
World Cup Qual. UEFA,Final,Bosnia & Herzegovina,Italy,5,2,5-2,Bosnia & Herzegovina
CONCACAF Gold Cup,Quarterfinals,Panama,Honduras,5,6,5-6,Honduras
CONCACAF Gold Cup,Quarterfinals,Mexico,Saudi Arabia,2,0,2-0,Mexico
CONCACAF Gold Cup,Quarterfinals,Canada,Guatemala,6,7,6-7,Guatemala
CONCACAF Gold Cup,Quarterfinals,USA,Costa Rica,6,5,6-5,USA
CONCACAF Gold Cup,Semifinals,USA,Guatemala,2,1,2-1,USA
CONCACAF Gold Cup,Semifinals,Mexico,Honduras,1,0,1-0,Mexico
CONCACAF Gold Cup,Final,USA,Mexico,1,2,1-2,Mexico
World Cup Qual. AFC,Final,United Arab Emirates,Iraq,1,1,1-1,
World Cup Qual. AFC,Final,Iraq,United Arab Emirates,2,1,2-1,Iraq
CONCACAF Nations League,Final,Cayman Islands,Guadeloupe,0,5,0-5,Guadeloupe
CONCACAF Nations League,Final,Barbados,Guyana,1,4,1-4,Guyana
CONCACAF Nations League,Quarterfinals,Suriname,Canada,0,1,0-1,Canada
CONCACAF Nations League,Quarterfinals,Honduras,Mexico,2,0,2-0,Honduras
CONCACAF Nations League,Final,Cuba,Saint Kitts and Nevis,4,0,4-0,Cuba
CONCACAF Nations League,Quarterfinals,USA,Jamaica,4,2,4-2,USA
CONCACAF Nations League,Quarterfinals,Panama,Costa Rica,2,2,2-2,
CONCACAF Nations League,Final,Guadeloupe,Cayman Islands,1,0,1-0,Guadeloupe
CONCACAF Nations League,Final,French Guiana,Belize,2,2,2-2,
CONCACAF Nations League,Final,Guyana,Barbados,5,3,5-3,Guyana
CONCACAF Nations League,Quarterfinals,Canada,Suriname,3,0,3-0,Canada
CONCACAF Nations League,Quarterfinals,Mexico,Honduras,4,0,4-0,Mexico
CONCACAF Nations League,Semifinals,USA,Panama,0,1,0-1,Panama
CONCACAF Nations League,Semifinals,Canada,Mexico,0,2,0-2,Mexico
CONCACAF Nations League,Final,Mexico,Panama,2,1,2-1,Mexico
