time_referencia,competicao,pais_competicao,data_jogo,time_casa,time_fora,jogo,resultado,formacao_casa,formacao_fora,titulares_casa,titulares_fora,substituicoes,gols,assistencias
Egypt,"FIFA World Cup, Qualification CAF, Group A",Africa,2025-09-05 19:00:00,Egypt,Ethiopia,Egypt x Ethiopia,2 x 0,4-3-3,3-5-2,Mohamed El-Shenawy | Mohamed Hany | Rami Rabia | Khaled Sobhi | Mohamed Hamdi | Zizo | Hamdy Fathy | Mahmoud Trézéguet | Mohamed Salah | Osama Faisal | Omar Marmoush,Abubeker Nura | Asrat Tonjo | Ramkel James | Yared Baye | Suleman Hamid | Wogene Gezahegn | Habtamu Tekeste | Bereket Desta | Yared Moges | Canaan Markneh | Beneyam Demte,[CASA] 88' Nabil Donga entrou no lugar de Mohamed Salah | [FORA] 83' Bereket Waza entrou no lugar de Wogene Gezahegn | [FORA] 83' Mohammed Abera entrou no lugar de Canaan Markneh | [CASA] 79' Mahmoud Saber entrou no lugar de Osama Faisal | [CASA] 79' Mostafa Mohamed entrou no lugar de Mahmoud Trézéguet | [FORA] 72' Ahmed Reshid entrou no lugar de Asrat Tonjo | [FORA] 72' Chernet Gugsa entrou no lugar de Suleman Hamid | [CASA] 63' Mohanad Lasheen entrou no lugar de Omar Marmoush | [CASA] 63' Ibrahim Adel entrou no lugar de Zizo | [FORA] 46' Haider Sherifa entrou no lugar de Habtamu Tekeste,[CASA] 45+2' Omar Marmoush | [CASA] 41' Mohamed Salah,
Senegal,"FIFA World Cup, Qualification CAF, Group B",Africa,2025-09-05 19:00:00,Senegal,Sudan,Senegal x Sudan,2 x 0,4-3-3,4-5-1,Edouard Mendy | Krépin Diatta | Kalidou Koulibaly | Moussa Niakhaté | El Hadji Malick Diouf | Habib Diarra | Pape Gueye | Pape Matar Sarr | Iliman Ndiaye | Sadio Mané | Boulaye Dia,Mohamed Abooja | Yaser Awad Boshara | Mohamed Saeed Ahmed | Mustafa Karshom | Bakhit Khamis | Salaheldin Adil | Abdelrazig Omer | Abdelrahman Kuku | Walieldin Khidir | Abo Eisa | Mohamed Eisa,[FORA] 90' Mohamed Adam entrou no lugar de Mohamed Eisa | [FORA] 90' John Robia entrou no lugar de Abdelrazig Omer | [CASA] 83' Cheick Tidiane Sabaly entrou no lugar de Iliman Ndiaye | [CASA] 83' Nicolas Jackson entrou no lugar de Boulaye Dia | [FORA] 77' Mohamed Al-Rasheed entrou no lugar de Salaheldin Adil | [FORA] 77' Al-Gozoli Nooh entrou no lugar de Abo Eisa | [CASA] 73' Pathé Ismaël Ciss entrou no lugar de Pape Matar Sarr | [CASA] 59' Lamine Camara entrou no lugar de Habib Diarra | [CASA] 59' Abdoulaye Seck entrou no lugar de Moussa Niakhaté | [FORA] 46' Musa Ali Hussein entrou no lugar de Abdelrahman Kuku,[CASA] 41' Pape Matar Sarr | [CASA] 14' Kalidou Koulibaly,[CASA] 41' Kalidou Koulibaly -> Pape Matar Sarr | [CASA] 14' Krépin Diatta -> Kalidou Koulibaly
France,World Cup Qual. UEFA D,Europe,2025-09-05 18:45:00,Ukraine,France,Ukraine x France,0 x 2,4-1-4-1,4-2-3-1,Anatoliy Trubin | Yukhym Konoplya | Ilya Zabarnyi | Mykola Matvienko | Oleksandr Zinchenko | Yehor Yarmoliuk | Oleksandr Zubkov | Ivan Kalyuzhnyi | Georgiy Sudakov | Oleksiy Gutsulyak | Artem Dovbyk,Mike Maignan | Jules Koundé | Ibrahima Konaté | Dayot Upamecano | Lucas Digne | Aurélien Tchouaméni | Manu Koné | Désiré Doué | Michael Olise | Bradley Barcola | Kylian Mbappé,[FORA] 90' Maghnes Akliouche entrou no lugar de Michael Olise | [FORA] 90' Malo Gusto entrou no lugar de Jules Koundé | [CASA] 87' Nazar Voloshyn entrou no lugar de Oleksandr Zinchenko | [CASA] 83' Artem Bondarenko entrou no lugar de Georgiy Sudakov | [CASA] 83' Oleg Ocheretko entrou no lugar de Yehor Yarmoliuk | [FORA] 81' Hugo Ekitiké entrou no lugar de Ousmane Dembélé | [CASA] 76' Oleksandr Nazarenko entrou no lugar de Oleksandr Zubkov | [CASA] 76' Vladyslav Vanat entrou no lugar de Artem Dovbyk | [FORA] 76' Adrien Rabiot entrou no lugar de Bradley Barcola | [FORA] 46' Ousmane Dembélé entrou no lugar de Désiré Doué,[FORA] 82' Kylian Mbappé | [FORA] 10' Michael Olise,[FORA] 82' Aurélien Tchouaméni -> Kylian Mbappé | [FORA] 10' Bradley Barcola -> Michael Olise
Switzerland,World Cup Qual. UEFA B,Europe,2025-09-05 18:45:00,Switzerland,Kosovo,Switzerland x Kosovo,4 x 0,4-2-3-1,4-3-3,Gregor Kobel | Silvan Widmer | Nico Elvedi | Manuel Akanji | Ricardo Rodríguez | Granit Xhaka | Remo Freuler | Rubén Vargas | Fabian Rieder | Dan Ndoye | Breel Embolo,Arijanet Murić | Mërgim Vojvoda | Amir Rrahmani | Lumbardh Dellova | Leart Paqarada | Leon Avdullahu | Elvis Rexhbeçaj | Muharrem Jashari | Ermal Krasniqi | Vedat Muriqi | Florent Muslija,[CASA] 85' Cédric Itten entrou no lugar de Dan Ndoye | [FORA] 83' Valon Berisha entrou no lugar de Leon Avdullahu | [CASA] 75' Denis Zakaria entrou no lugar de Breel Embolo | [FORA] 63' Ilir Krasniqi entrou no lugar de Amir Rrahmani | [CASA] 60' Michel Aebischer entrou no lugar de Rubén Vargas | [CASA] 60' Johan Manzambi entrou no lugar de Fabian Rieder | [FORA] 46' Baton Zabergja entrou no lugar de Ermal Krasniqi | [FORA] 46' Albion Rrahmani entrou no lugar de Elvis Rexhbeçaj | [FORA] 46' Dion Gallapeni entrou no lugar de Leart Paqarada | [CASA] 46' Miro Muheim entrou no lugar de Ricardo Rodríguez,[CASA] 45' Breel Embolo | [CASA] 39' Silvan Widmer | [CASA] 25' Breel Embolo | [CASA] 22' Manuel Akanji,[CASA] 45' Dan Ndoye -> Breel Embolo | [CASA] 39' Fabian Rieder -> Silvan Widmer | [CASA] 25' Dan Ndoye -> Breel Embolo | [CASA] 22' Rubén Vargas -> Manuel Akanji
Scotland,World Cup Qual. UEFA C,Europe,2025-09-05 18:45:00,Denmark,Scotland,Denmark x Scotland,0 x 0,3-4-1-2,4-2-3-1,Kasper Schmeichel | Rasmus Kristensen | Joachim Andersen | Andreas Christensen | Anders Dreyer | Morten Hjulmand | Pierre-Emile Højbjerg | Joakim Mæhle | Mikkel Damsgaard | Kasper Dolberg | Mika Biereth,Angus Gunn | Aaron Hickey | John Souttar | Grant Hanley | Andy Robertson | Scott McTominay | Lewis Ferguson | John McGinn | Che Adams | Ryan Christie | Lyndon Dykes,[FORA] 83' Ben Gannon-Doak entrou no lugar de Lyndon Dykes | [FORA] 83' Kenny McLean entrou no lugar de Ryan Christie | [FORA] 83' George Hirst entrou no lugar de Che Adams | [CASA] 74' Rasmus Højlund entrou no lugar de Mika Biereth | [CASA] 74' Victor Froholdt entrou no lugar de Anders Dreyer | [FORA] 70' Max Johnston entrou no lugar de Aaron Hickey | [CASA] 61' Albert Grønbæk entrou no lugar de Kasper Dolberg,,
Sweden,World Cup Qual. UEFA B,Europe,2025-09-05 18:45:00,Slovenia,Sweden,Slovenia x Sweden,2 x 2,4-4-2,3-1-4-2,Jan Oblak | Žan Karničnik | Vanja Drkušić | Jaka Bijol | Erik Janža | Petar Stojanović | Adam Gnezda Čerin | Timi Max Elšnik | Sandi Lovrić | Andraž Šporar | Benjamin Šeško,Robin Olsen | Hjalmar Ekdal | Isak Hien | Gabriel Gudmundsson | Anton Salétros | Alexander Bernhardsson | Hugo Larsson | Yasin Ayari | Daniel Svensson | Anthony Elanga | Viktor Gyökeres,[CASA] 82' Svit Sešlar entrou no lugar de Petar Stojanović | [CASA] 70' Jan Mlakar entrou no lugar de Sandi Lovrić | [CASA] 64' Žan Vipotnik entrou no lugar de Andraž Šporar | [CASA] 64' Dejan Petrovič entrou no lugar de Timi Max Elšnik | [FORA] 64' Niclas Eliasson entrou no lugar de Alexander Bernhardsson | [FORA] 63' Benjamin Nygren entrou no lugar de Anthony Elanga,[CASA] 90' Žan Vipotnik | [FORA] 73' Yasin Ayari | [CASA] 46' Sandi Lovrić | [FORA] 18' Anthony Elanga,[FORA] 73' Viktor Gyökeres -> Yasin Ayari | [CASA] 46' Timi Max Elšnik -> Sandi Lovrić | [FORA] 18' Yasin Ayari -> Anthony Elanga
Czechia,World Cup Qual. UEFA L,Europe,2025-09-05 18:45:00,Montenegro,Czechia,Montenegro x Czechia,0 x 2,4-2-3-1,4-2-3-1,Danijel Petković | Marko Vukčević | Stefan Savić | Igor Vujačić | Andrija Vukčević | Miloš Brnović | Andrija Bulatovic | Milan Vukotić | Marko Janković | Nikola Krstović | Stevan Jovetić,Jindřich Staněk | David Douděra | Tomáš Holeš | Ladislav Krejčí | Jaroslav Zelený | Lukáš Červ | Tomáš Souček | Lukáš Provod | Pavel Šulc | Vasil Kušej | Patrik Schick,[FORA] 85' Jan Kuchta entrou no lugar de Lukáš Červ | [FORA] 85' Michal Sadílek entrou no lugar de Pavel Šulc | [CASA] 77' Stefan Mugoša entrou no lugar de Marko Vukčević | [FORA] 71' Tomáš Chorý entrou no lugar de Patrik Schick | [CASA] 71' Stefan Lončar entrou no lugar de Milan Vukotić | [CASA] 70' Vasilije Adžić entrou no lugar de Marko Janković | [CASA] 59' Milan Roganović entrou no lugar de Andrija Vukčević | [CASA] 58' Driton Camaj entrou no lugar de Miloš Brnović | [FORA] 49' Robin Hranáč entrou no lugar de David Douděra | [FORA] 46' Václav Černý entrou no lugar de Vasil Kušej,[FORA] 90+6' Václav Černý | [FORA] 3' Lukáš Červ,[FORA] 90+6' Jan Kuchta -> Václav Černý
Croatia,World Cup Qual. UEFA L,Europe,2025-09-05 18:45:00,Faroe Islands,Croatia,Faroe Islands x Croatia,0 x 1,3-4-3,4-2-3-1,Mattias Lamhauge | Odmar Færø | Gunnar Vatnhamar | Andrias Edmundsson | Jóannes Kalsø Danielsen | Brandur Hendriksson | Jákup Biskopstø Andreasen | Viljormur Davidsen | Árni Frederiksberg | Meinhard Olsen | Hanus Sørensen,Dominik Livaković | Kristijan Jakić | Marin Pongračić | Duje Ćaleta-Car | Borna Sosa | Mario Pašalić | Petar Sučić | Martin Baturina | Andrej Kramarić | Toni Fruk | Ante Budimir,[CASA] 87' Adrian Justinussen entrou no lugar de Hanus Sørensen | [FORA] 80' Ivan Smolčić entrou no lugar de Kristijan Jakić | [FORA] 80' Marco Pašalić entrou no lugar de Mario Pašalić | [CASA] 76' Géza Dávid Turi entrou no lugar de Brandur Hendriksson | [CASA] 76' Jóannes Bjartalíð entrou no lugar de Árni Frederiksberg | [CASA] 68' Martin Agnarsson entrou no lugar de Viljormur Davidsen | [CASA] 68' Jóan Edmundsson entrou no lugar de Meinhard Olsen | [FORA] 65' Luka Modrić entrou no lugar de Martin Baturina | [FORA] 51' Ivan Perišić entrou no lugar de Borna Sosa | [FORA] 51' Franjo Ivanović entrou no lugar de Ante Budimir,[FORA] 31' Andrej Kramarić,[FORA] 31' Ante Budimir -> Andrej Kramarić
Canada,Int. Friendly Games,World,2025-09-05 18:00:00,Romania,Canada,Romania x Canada,0 x 3,4-3-3,4-4-2,Horațiu Moldovan | Andrei Rațiu | Virgil Ghiță | Andrei Burcă | Nicușor Bancu | Răzvan Marin | Marius Marin | Nicolae Stanciu | Dennis Man | Denis Drăguş | Alex Dobre,Maxime Crépeau | Niko Sigur | Luc De Fougerolles | Derek Cornelius | Richie Laryea | Tajon Buchanan | Ismael Koné | Stephen Eustaquio | Ali Ahmed | Jonathan David | Tani Oluwaseyi,[CASA] 85' Deian Sorescu entrou no lugar de Andrei Rațiu | [FORA] 82' Joel Waterman entrou no lugar de Luc De Fougerolles | [FORA] 82' Zorhan Bassong entrou no lugar de Tani Oluwaseyi | [FORA] 79' Junior Hoilett entrou no lugar de Jonathan David | [FORA] 77' Promise David entrou no lugar de Tajon Buchanan | [CASA] 74' Alexandru Mitriță entrou no lugar de Dennis Man | [CASA] 74' David Miculescu entrou no lugar de Denis Drăguş | [FORA] 64' Nathan-Dylan Saliba entrou no lugar de Ismael Koné | [FORA] 64' Jayden Nelson entrou no lugar de Ali Ahmed | [CASA] 62' Florin Tănase entrou no lugar de Nicolae Stanciu | [CASA] 61' Mihai Popescu entrou no lugar de Andrei Burcă | [CASA] 61' Alexandru Chipciu entrou no lugar de Nicușor Bancu,[FORA] 77' Niko Sigur | [FORA] 22' Ali Ahmed | [FORA] 11' Jonathan David,[FORA] 77' Tani Oluwaseyi -> Niko Sigur | [FORA] 11' Ali Ahmed -> Jonathan David
South Africa,"FIFA World Cup, Qualification CAF, Group C",Africa,2025-09-05 16:00:00,Lesotho,South Africa,Lesotho x South Africa,0 x 3,4-3-3,4-2-3-1,Sekhoane Moerane | Thabang Malane | Thato Malakia Sefoli | Thabo Makhele | Fusi Matlabe | Lehlohonolo Fothoane | Lehlohonolo Matsau | Tsepo Toloane | Katleho Makateng | Sera Motebang | Neo Mokhachane,Ronwen Williams | Sydney Nyiko Mobbie | Brendon Moloisane | Mbekezeli Mbokazi | Aubrey Modiba | Thalente Mbatha | Teboho Mokoena | Mohau Nkota | Sipho Mbule | Oswin Appollis | Lyle Foster,[CASA] 88' Thabo Maphakisa entrou no lugar de Sera Motebang | [CASA] 88' Tlotliso Phatsisi entrou no lugar de Tsepo Toloane | [FORA] 75' Kamogelo Sebelebele entrou no lugar de Mohau Nkota | [FORA] 74' Iqraam Rayners entrou no lugar de Lyle Foster | [FORA] 74' Bathusi Aubaas entrou no lugar de Sipho Mbule | [CASA] 69' Lebohang Lesako entrou no lugar de Neo Mokhachane | [CASA] 69' Kananelo Rapuleng entrou no lugar de Lehlohonolo Fothoane | [FORA] 53' Khulumani Ndamane entrou no lugar de Brendon Moloisane | [CASA] 41' Jane Thaba-Ntso entrou no lugar de Katleho Makateng | [FORA] 6' Zuko Mdunyelwa entrou no lugar de Sydney Nyiko Mobbie,[FORA] 67' Oswin Appollis | [FORA] 63' Lyle Foster | [FORA] 15' Mohau Nkota,[FORA] 67' Lyle Foster -> Oswin Appollis | [FORA] 15' Aubrey Modiba -> Mohau Nkota
DR Congo,"FIFA World Cup, Qualification CAF, Group B",Africa,2025-09-05 13:00:00,South Sudan,DR Congo,South Sudan x DR Congo,1 x 4,5-3-2,4-3-3,Michael Magut | Samuel Taban | Paul Puk Kun Pal | Athir Abdo Gaber | Benjamin Laku | Okocha Rashid | Peter Chan | Mario Albano | William Gama | Pap Chol | David Sebit,Dimitry Bertaud | Aaron Wan-Bissaka | Chancel Mbemba | Dylan Batubinsika | Joris Kayembe | Edo Kayembe | Samuel Moutoussamy | Noah Sadiki | Nathanaël Mbuku | Cédric Bakambu | Yoane Wissa,[FORA] 86' Charles Pickel entrou no lugar de Edo Kayembe | [FORA] 85' Théo Bongonda entrou no lugar de Nathanaël Mbuku | [FORA] 77' Fiston Mayele entrou no lugar de Cédric Bakambu | [FORA] 77' Gedeon Kalulu entrou no lugar de Aaron Wan-Bissaka | [CASA] 68' Valentino Yuel entrou no lugar de Paul Puk Kun Pal | [CASA] 68' Tito Okello entrou no lugar de Pap Chol | [FORA] 62' Meschak Elia entrou no lugar de Yoane Wissa | [CASA] 46' Joseph Malish entrou no lugar de William Gama | [CASA] 46' Chol Daniel entrou no lugar de Mario Albano | [CASA] 46' Keer Majak entrou no lugar de David Sebit,[CASA] 68' Keer Majak | [FORA] 57' Yoane Wissa | [FORA] 45+1' Nathanaël Mbuku | [FORA] 36' Cédric Bakambu | [FORA] 13' Cédric Bakambu,[CASA] 68' Samuel Taban -> Keer Majak | [FORA] 57' Cédric Bakambu -> Yoane Wissa | [FORA] 45+1' Yoane Wissa -> Nathanaël Mbuku | [FORA] 36' Edo Kayembe -> Cédric Bakambu | [FORA] 13' Joris Kayembe -> Cédric Bakambu
Australia,Int. Friendly Games,World,2025-09-05 09:45:00,Australia,New Zealand,Australia x New Zealand,1 x 0,5-4-1,4-3-3,Paul Izzo | Samuel Silvera | Alessandro Circati | Miloš Degenek | Cameron Burgess | Jordan Bos | Ajdin Hrustić | Patrick Yazbek | Ryan Teague | Connor Metcalfe | Martin Boyle,Max Crocombe | Tim Payne | Michael Boxall | Tyler Bindon | Francis De Vries | Ryan Thomas | Joe Bell | Sarpreet Singh | Callum McCowatt | Chris Wood | Elijah Just,[CASA] 85' Maximilien Balard entrou no lugar de Ryan Teague | [FORA] 75' Finn Surman entrou no lugar de Sarpreet Singh | [CASA] 74' Nestory Irankunda entrou no lugar de Connor Metcalfe | [CASA] 74' Nicolas Milanović entrou no lugar de Ajdin Hrustić | [CASA] 74' Mohamed Touré entrou no lugar de Martin Boyle | [FORA] 70' Benjamin Old entrou no lugar de Elijah Just | [FORA] 70' James McGarry entrou no lugar de Francis De Vries | [FORA] 64' Alex Rufer entrou no lugar de Ryan Thomas | [FORA] 63' Kosta Barbarouses entrou no lugar de Chris Wood | [FORA] 63' Callan Elliot entrou no lugar de Tim Payne | [CASA] 46' Aiden O'Neill entrou no lugar de Patrick Yazbek | [CASA] 46' Lewis Miller entrou no lugar de Samuel Silvera,[CASA] 87' Maximilien Balard,[CASA] 87' Mohamed Touré -> Maximilien Balard
Brazil,"World Cup Qualification, CONMEBOL",South America,2025-09-05 00:30:00,Brazil,Chile,Brazil x Chile,3 x 0,4-2-3-1,3-4-3,Alisson | Wesley | Marquinhos | Gabriel Magalhães | Douglas Santos | Bruno Guimarães | Casemiro | Estêvão | Raphinha | Gabriel Martinelli | João Pedro,Lawrence Vigouroux | Iván Román | Paulo Díaz | Guillermo Maripán | Fabián Hormazábal | Felipe Loyola | Vicente Pizarro | Gabriel Suazo | Lucas Cepeda | Ben Brereton Díaz | Alexander Aravena,[CASA] 79' Richarlison entrou no lugar de Raphinha | [FORA] 78' Maximiliano Gutiérrez entrou no lugar de Alexander Aravena | [FORA] 77' Lucas Assadi entrou no lugar de Lucas Cepeda | [FORA] 77' Rodrigo Echeverría entrou no lugar de Felipe Loyola | [CASA] 71' Lucas Paquetá entrou no lugar de Gabriel Martinelli | [CASA] 71' Kaio Jorge entrou no lugar de João Pedro | [CASA] 66' Andrey Santos entrou no lugar de Casemiro | [CASA] 66' Luiz Henrique entrou no lugar de Estêvão | [FORA] 59' Gonzalo Tapia entrou no lugar de Ben Brereton Díaz,[CASA] 76' Bruno Guimarães | [CASA] 72' Lucas Paquetá | [CASA] 38' Estêvão,[CASA] 72' Luiz Henrique -> Lucas Paquetá
Colombia,"World Cup Qualification, CONMEBOL",South America,2025-09-04 23:30:00,Colombia,Bolivia,Colombia x Bolivia,3 x 0,4-2-3-1,4-3-3,Camilo Vargas | Santiago Arias | Davinson Sánchez | Jhon Lucumí | Johan Mojica | Richard Ríos | Jefferson Lerma | James Rodríguez | Jhon Arias | Luis Díaz | Jhon Córdoba,Carlos Lampe | Diego Medina | Luis Haquín | Efraín Morales | José Sagredo | Robson Matheus | Ervin Vaca | Gabriel Villamil | Moisés Paniagua | Miguelito | Roberto Fernández,[CASA] 87' Marino Hinestroza entrou no lugar de Luis Díaz | [CASA] 82' Juan Portilla entrou no lugar de Jefferson Lerma | [CASA] 82' Dayro Moreno entrou no lugar de Jhon Córdoba | [FORA] 77' Moisés Villarroel entrou no lugar de Gabriel Villamil | [FORA] 76' Carlos Melgar entrou no lugar de Robson Matheus | [FORA] 76' Henry Vaca entrou no lugar de José Sagredo | [FORA] 68' Carmelo Algarañaz entrou no lugar de Moisés Paniagua | [FORA] 68' Yomar Rocha entrou no lugar de Diego Medina | [CASA] 61' Jaminton Campaz entrou no lugar de Jhon Arias | [CASA] 61' Juan Fernando Quintero entrou no lugar de James Rodríguez,[CASA] 83' Juan Fernando Quintero | [CASA] 74' Jhon Córdoba | [CASA] 31' James Rodríguez,[CASA] 83' Luis Díaz -> Juan Fernando Quintero | [CASA] 74' Juan Fernando Quintero -> Jhon Córdoba | [CASA] 31' Santiago Arias -> James Rodríguez
Paraguay,"World Cup Qualification, CONMEBOL",South America,2025-09-04 23:30:00,Paraguay,Ecuador,Paraguay x Ecuador,0 x 0,4-4-2,4-4-1-1,Roberto Fernández | Juan Cáceres | Gustavo Gómez | Omar Alderete | Junior Alonso | Ramón Sosa | Diego Gómez | Andrés Cubas | Miguel Almirón | Antonio Sanabria | Ronaldo Martinez,Hernán Galíndez | Joel Ordóñez | Willian Pacho | Piero Hincapié | Pervis Estupiñán | Ángelo Preciado | Jordy Alcivar | Pedro Vite | Nilson Angulo | Kendry Páez | Enner Valencia,[FORA] 90' Patrik Mercado entrou no lugar de Pedro Vite | [CASA] 85' Alex Arce entrou no lugar de Antonio Sanabria | [FORA] 85' Félix Torres entrou no lugar de Pervis Estupiñán | [CASA] 85' Damián Bobadilla entrou no lugar de Andrés Cubas | [FORA] 85' Alan Minda entrou no lugar de Nilson Angulo | [CASA] 77' Alejandro Romero entrou no lugar de Ramón Sosa | [FORA] 70' Gonzalo Plata entrou no lugar de Kendry Páez | [FORA] 70' Kevin Rodriguez entrou no lugar de Enner Valencia | [CASA] 61' Matías Galarza entrou no lugar de Ronaldo Martinez,,
Uruguay,"World Cup Qualification, CONMEBOL",South America,2025-09-04 23:30:00,Uruguay,Peru,Uruguay x Peru,3 x 0,4-3-3,4-5-1,Sergio Rochet | Guillermo Varela | Sebastián Cáceres | Mathías Olivera | Joaquín Piquerez | Federico Valverde | Rodrigo Bentancur | Giorgian de Arrascaeta | Facundo Pellistri | Rodrigo Aguirre | Brian Rodríguez,Pedro Gallese | Luis Advíncula | Renzo Garcés | Luis Abram | Marcos López | Kenji Cabrera | Christofer Gonzáles | Erick Noriega | Yoshimar Yotún | Kevin Quevedo | Luis Ramos,[FORA] 87' Jesús Pretell entrou no lugar de Erick Noriega | [FORA] 81' José Rivera entrou no lugar de Kevin Quevedo | [CASA] 77' Rodrigo Zalazar entrou no lugar de Facundo Pellistri | [CASA] 74' Federico Viñas entrou no lugar de Rodrigo Aguirre | [CASA] 69' Manuel Ugarte entrou no lugar de Giorgian de Arrascaeta | [FORA] 66' Jairo Concha entrou no lugar de Yoshimar Yotún | [FORA] 46' Joao Grimaldo entrou no lugar de Kenji Cabrera | [FORA] 46' Sergio Peña entrou no lugar de Christofer Gonzáles,[CASA] 80' Federico Viñas | [CASA] 58' Giorgian de Arrascaeta | [CASA] 14' Rodrigo Aguirre,[CASA] 80' Brian Rodríguez -> Federico Viñas | [CASA] 58' Rodrigo Aguirre -> Giorgian de Arrascaeta | [CASA] 14' Guillermo Varela -> Rodrigo Aguirre
Argentina,"World Cup Qualification, CONMEBOL",South America,2025-09-04 23:30:00,Argentina,Venezuela,Argentina x Venezuela,3 x 0,4-2-2-2,5-3-2,Emiliano Martínez | Nahuel Molina | Cristian Romero | Nicolás Otamendi | Nicolás Tagliafico | Rodrigo De Paul | Leandro Paredes | Franco Mastantuono | Thiago Almada | Lionel Messi | Julián Alvarez,Rafael Romo | Jon Aramburu | Nahuel Ferraresi | Wilker Ángel | Christian Makoun | Miguel Navarro | Eduard Bello | Tomás Rincón | Cristian Cásseres Jr. | Jefferson Savarino | Salomón Rondón,[FORA] 81' Jhon Murillo entrou no lugar de Eduard Bello | [CASA] 81' Nico Paz entrou no lugar de Thiago Almada | [CASA] 81' Giuliano Simeone entrou no lugar de Nahuel Molina | [CASA] 74' Lautaro Martínez entrou no lugar de Julián Alvarez | [CASA] 74' Exequiel Palacios entrou no lugar de Leandro Paredes | [FORA] 67' Leonardo Flores entrou no lugar de Jefferson Savarino | [CASA] 63' Nicolás González entrou no lugar de Franco Mastantuono | [FORA] 56' Josef Martínez entrou no lugar de Salomón Rondón | [FORA] 56' Yeferson Soteldo entrou no lugar de Miguel Navarro | [FORA] 46' Jorge Yriarte entrou no lugar de Tomás Rincón,[CASA] 80' Lionel Messi | [CASA] 76' Lautaro Martínez | [CASA] 39' Lionel Messi,[CASA] 80' Thiago Almada -> Lionel Messi | [CASA] 76' Nicolás González -> Lautaro Martínez | [CASA] 39' Julián Alvarez -> Lionel Messi
Panama,World Cup Qual. CONCACAF Group A,North & Central America,2025-09-04 21:30:00,Suriname,Panama,Suriname x Panama,0 x 0,5-4-1,4-2-3-1,Etienne Vaessen | Liam Van Gelderen | Radinio Balker | Myenty Abena | Shaquille Riley Pinas | Djevencio van der Kust | Denzel Jubitana | Dhoraso Moreo Klas | Kenneth Paal | Richonell Margaret | Gyrano Kerk,Orlando Mosquera | Amir Murillo | Fidel Escobar | Andrés Andrade | Jorge Gutiérrez | Aníbal Godoy | Adalberto Carrasquilla | José Luis Rodríguez | Cristian Martínez | Ismael Díaz | Cecilio Waterman,[FORA] 82' Éric Davis entrou no lugar de Jorge Gutiérrez | [CASA] 81' Jaden Montnor entrou no lugar de Gyrano Kerk | [CASA] 80' Dion Malone entrou no lugar de Dhoraso Moreo Klas | [CASA] 74' Jean-Paul Boëtius entrou no lugar de Richonell Margaret | [CASA] 74' Anfernee Jamal Dijksteel entrou no lugar de Radinio Balker | [FORA] 70' José Fajardo entrou no lugar de Cecilio Waterman | [FORA] 70' Yoel Bárcenas entrou no lugar de José Luis Rodríguez | [FORA] 64' Carlos Harvey entrou no lugar de Cristian Martínez | [CASA] 64' Sheraldo Becker entrou no lugar de Denzel Jubitana,,
Algeria,"World Cup Qualification, CAF, Group G",Africa,2025-09-04 19:00:00,Algeria,Botswana,Algeria x Botswana,3 x 1,4-3-3,4-4-2,Alexis Guendouz | Youcef Atal | Aïssa Mandi | Mohamed Tougai | Ramy Bensebaini | Hicham Boudaoui | Nabil Bentaleb | Houssem Aouar | Riyad Mahrez | Mohamed Amoura | Amine Gouiri,Goitseone Phoko | Alford Velaphi | Tebogo Kopelang | Mosha Gaolaolwe | Mothusi Johnson | Rudolph Mpho Kgaswane | Lebogang Ditsele | Mothusi Cooper | Thero Setsile | Thabang Sesinyi | Gilbert Baruti,[CASA] 90' Ahmed Touba entrou no lugar de Mohamed Amoura | [CASA] 90' Farès Chaïbi entrou no lugar de Hicham Boudaoui | [FORA] 77' Segolame Boy entrou no lugar de Mothusi Cooper | [FORA] 73' Thabo Maponda entrou no lugar de Rudolph Mpho Kgaswane | [FORA] 73' Thatayaone Kgamanyane entrou no lugar de Gilbert Baruti | [FORA] 73' Serati Semadi entrou no lugar de Thabang Sesinyi | [CASA] 67' Saïd Benrahma entrou no lugar de Riyad Mahrez | [CASA] 67' Youcef Belaïli entrou no lugar de Houssem Aouar | [CASA] 67' Baghdad Bounedjah entrou no lugar de Amine Gouiri | [FORA] 60' Gape Mohutsiwa entrou no lugar de Thero Setsile,[CASA] 90+6' Baghdad Bounedjah | [CASA] 71' Baghdad Bounedjah | [FORA] 43' Tebogo Kopelang | [CASA] 33' Mohamed Amoura,[CASA] 71' Mohamed Amoura -> Baghdad Bounedjah | [FORA] 43' Mothusi Johnson -> Tebogo Kopelang
