liga,grupo,posicao,time,jogos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo,pontos
CONCACAF Gold Cup,Group B,1,Canada,3,2,1,0,9,1,,7
CONCACAF Gold Cup,Group B,2,Honduras,3,2,0,1,4,7,,6
CONCACAF Gold Cup,Group B,3,Curaçao,3,0,2,1,2,3,,2
CONCACAF Gold Cup,Group B,4,El Salvador,3,0,1,2,0,4,,1
CONCACAF Gold Cup,Group C,1,Panama,3,3,0,0,10,3,,9
CONCACAF Gold Cup,Group C,2,Guatemala,3,2,0,1,4,3,,6
CONCACAF Gold Cup,Group C,3,Jamaica,3,1,0,2,3,6,,3
CONCACAF Gold Cup,Group C,4,Guadeloupe,3,0,0,3,5,10,,0
CONCACAF Gold Cup,Group D,1,USA,3,3,0,0,8,1,,9
CONCACAF Gold Cup,Group D,2,Saudi Arabia,3,1,1,1,2,2,,4
CONCACAF Gold Cup,Group D,3,Trinidad and Tobago,3,0,2,1,2,7,,2
CONCACAF Gold Cup,Group D,4,Haiti,3,0,1,2,2,4,,1
CONCACAF Nations League,"League A, Group A",1,Costa Rica,4,2,2,0,7,1,,8
CONCACAF Nations League,"League A, Group A",2,Suriname,4,2,1,1,9,4,,7
CONCACAF Nations League,"League A, Group A",3,Guatemala,4,2,1,1,6,5,,7
CONCACAF Nations League,"League A, Group A",4,Martinique,4,1,2,1,4,5,,5
CONCACAF Nations League,"League A, Group A",5,Guadeloupe,4,1,1,2,1,4,,4
CONCACAF Nations League,"League A, Group A",6,Guyana,4,0,1,3,5,13,,1
CONCACAF Nations League,"League A, Group B",1,Jamaica,4,2,2,0,4,1,,8
CONCACAF Nations League,"League A, Group B",2,Honduras,4,2,1,1,8,4,,7
CONCACAF Nations League,"League A, Group B",3,Nicaragua,4,2,1,1,5,5,,7
CONCACAF Nations League,"League A, Group B",4,Trinidad and Tobago,4,1,2,1,5,7,,5
CONCACAF Nations League,"League A, Group B",5,Cuba,4,0,3,1,4,6,,3
CONCACAF Nations League,"League A, Group B",6,French Guiana,4,0,1,3,4,7,,1
CONCACAF Nations League,"League B, Group A",1,El Salvador,6,5,0,1,12,6,,15
CONCACAF Nations League,"League B, Group A",2,Saint Vincent and the Grenadines,6,4,1,1,12,7,,13
CONCACAF Nations League,"League B, Group A",3,Bonaire,6,1,1,4,4,8,,4
CONCACAF Nations League,"League B, Group A",4,Montserrat,6,1,0,5,3,10,,3
CONCACAF Nations League,"League B, Group B",1,Curaçao,6,4,1,1,15,3,,13
CONCACAF Nations League,"League B, Group B",2,Saint Lucia,6,3,0,3,7,15,,9
CONCACAF Nations League,"League B, Group B",3,Grenada,6,2,1,3,7,6,,7
CONCACAF Nations League,"League B, Group B",4,Saint Martin,6,2,0,4,8,13,,6
CONCACAF Nations League,"League B, Group C",1,Haiti,6,6,0,0,29,5,,18
CONCACAF Nations League,"League B, Group C",2,Puerto Rico,6,3,0,3,11,12,,9
CONCACAF Nations League,"League B, Group C",3,Sint Maarten,6,3,0,3,7,18,,9
CONCACAF Nations League,"League B, Group C",4,Aruba,6,0,0,6,5,17,,0
CONCACAF Nations League,"League B, Group D",1,Dominican Republic,6,6,0,0,27,4,,18
CONCACAF Nations League,"League B, Group D",2,Bermuda,6,4,0,2,15,13,,12
CONCACAF Nations League,"League B, Group D",3,Dominica,6,1,1,4,6,18,,4
CONCACAF Nations League,"League B, Group D",4,Antigua and Barbuda,6,0,1,5,2,15,,1
CONCACAF Nations League,"League C, Group A",1,Barbados,4,4,0,0,17,4,,12
CONCACAF Nations League,"League C, Group A",2,Bahamas,4,1,1,2,10,13,,4
CONCACAF Nations League,"League C, Group A",3,US Virgin Islands,4,0,1,3,4,14,,1
CONCACAF Nations League,"League C, Group B",1,Belize,4,4,0,0,9,0,,12
CONCACAF Nations League,"League C, Group B",2,Anguilla,4,1,0,3,3,4,,3
CONCACAF Nations League,"League C, Group B",3,Turks and Caicos Islands,4,1,0,3,2,10,,3
CONCACAF Nations League,"League C, Group C",1,Saint Kitts and Nevis,4,3,1,0,10,3,,10
CONCACAF Nations League,"League C, Group C",2,Cayman Islands,4,2,1,1,4,5,,7
CONCACAF Nations League,"League C, Group C",3,British Virgin Islands,4,0,0,4,1,7,,0
Copa América,Group A,1,Argentina,3,3,0,0,5,0,,9
Copa América,Group A,2,Canada,3,1,1,1,1,2,,4
Copa América,Group A,3,Chile,3,0,2,1,0,1,,2
Copa América,Group A,4,Peru,3,0,1,2,0,3,,1
Copa América,Group B,1,Venezuela,3,3,0,0,6,1,,9
Copa América,Group B,2,Ecuador,3,1,1,1,4,3,,4
Copa América,Group B,3,Mexico,3,1,1,1,1,1,,4
Copa América,Group B,4,Jamaica,3,0,0,3,1,7,,0
Copa América,Group C,1,Uruguay,3,3,0,0,9,1,,9
Copa América,Group C,2,Panama,3,2,0,1,6,5,,6
Copa América,Group C,3,USA,3,1,0,2,3,3,,3
Copa América,Group C,4,Bolivia,3,0,0,3,1,10,,0
Copa América,Group D,1,Colombia,3,2,1,0,6,2,,7
Copa América,Group D,2,Brazil,3,1,2,0,5,2,,5
Copa América,Group D,3,Costa Rica,3,1,1,1,2,4,,4
Copa América,Group D,4,Paraguay,3,0,0,3,3,8,,0
Copa do Mundo FIFA 2026,Group A,1,Mexico,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group A,2,South Africa,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group A,3,South Korea,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group A,4,Czechia,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group B,1,Canada,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group B,2,Bosnia & Herzegovina,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group B,3,Qatar,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group B,4,Switzerland,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group C,1,Brazil,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group C,2,Morocco,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group C,3,Haiti,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group C,4,Scotland,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group D,1,USA,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group D,2,Paraguay,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group D,3,Australia,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group D,4,Türkiye,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group E,1,Germany,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group E,2,Curaçao,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group E,3,Côte d'Ivoire,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group E,4,Ecuador,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group F,1,Netherlands,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group F,2,Japan,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group F,3,Sweden,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group F,4,Tunisia,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group G,1,Belgium,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group G,2,Egypt,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group G,3,Iran,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group G,4,New Zealand,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group H,1,Spain,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group H,2,Cabo Verde,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group H,3,Saudi Arabia,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group H,4,Uruguay,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group I,1,France,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group I,2,Senegal,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group I,3,Iraq,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group I,4,Norway,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group J,1,Argentina,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group J,2,Algeria,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group J,3,Austria,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group J,4,Jordan,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group K,1,Portugal,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group K,2,DR Congo,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group K,3,Uzbekistan,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group K,4,Colombia,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group L,1,England,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group L,2,Croatia,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group L,3,Ghana,0,0,0,0,0,0,,0
Copa do Mundo FIFA 2026,Group L,4,Panama,0,0,0,0,0,0,,0
EURO,Group A,1,Germany,3,2,1,0,8,2,,7
EURO,Group A,2,Switzerland,3,1,2,0,5,3,,5
EURO,Group A,3,Hungary,3,1,0,2,2,5,,3
EURO,Group A,4,Scotland,3,0,1,2,2,7,,1
EURO,Group B,1,Spain,3,3,0,0,5,0,,9
EURO,Group B,2,Italy,3,1,1,1,3,3,,4
EURO,Group B,3,Croatia,3,0,2,1,3,6,,2
EURO,Group B,4,Albania,3,0,1,2,3,5,,1
EURO,Group C,1,England,3,1,2,0,2,1,,5
EURO,Group C,2,Denmark,3,0,3,0,2,2,,3
EURO,Group C,3,Slovenia,3,0,3,0,2,2,,3
EURO,Group C,4,Serbia,3,0,2,1,1,2,,2
EURO,Group D,1,Austria,3,2,0,1,6,4,,6
EURO,Group D,2,France,3,1,2,0,2,1,,5
EURO,Group D,3,Netherlands,3,1,1,1,4,4,,4
EURO,Group D,4,Poland,3,0,1,2,3,6,,1
EURO,Group E,1,Romania,3,1,1,1,4,3,,4
EURO,Group E,2,Belgium,3,1,1,1,2,1,,4
EURO,Group E,3,Slovakia,3,1,1,1,3,3,,4
EURO,Group E,4,Ukraine,3,1,1,1,2,4,,4
EURO,Group F,1,Portugal,3,2,0,1,5,3,,6
EURO,Group F,2,Türkiye,3,2,0,1,5,5,,6
EURO,Group F,3,Georgia,3,1,1,1,4,4,,4
EURO,Group F,4,Czechia,3,0,1,2,3,5,,1
EURO,Third-placed teams,1,Netherlands,3,1,1,1,4,4,,4
EURO,Third-placed teams,2,Georgia,3,1,1,1,4,4,,4
EURO,Third-placed teams,3,Slovakia,3,1,1,1,3,3,,4
EURO,Third-placed teams,4,Slovenia,3,0,3,0,2,2,,3
EURO,Third-placed teams,5,Hungary,3,1,0,2,2,5,,3
EURO,Third-placed teams,6,Croatia,3,0,2,1,3,6,,2
OFC Men's Nations Cup,OFC Men's Nations Cup 2024,1,New Zealand,2,2,0,0,7,0,,6
OFC Men's Nations Cup,OFC Men's Nations Cup 2024,1,Fiji,3,3,0,0,15,2,,9
OFC Men's Nations Cup,OFC Men's Nations Cup 2024,2,Vanuatu,2,1,0,1,1,4,,3
OFC Men's Nations Cup,OFC Men's Nations Cup 2024,2,Tahiti,3,1,1,1,3,2,,4
OFC Men's Nations Cup,OFC Men's Nations Cup 2024,3,Solomon Islands,2,0,0,2,0,4,,0
OFC Men's Nations Cup,OFC Men's Nations Cup 2024,3,Papua New Guinea,3,1,1,1,4,7,,4
OFC Men's Nations Cup,OFC Men's Nations Cup 2024,4,Samoa,3,0,0,3,2,13,,0
UEFA Nations League,"UEFA Nations League 26/27, League A, Group 1",1,France,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League A, Group 1",2,Italy,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League A, Group 1",3,Belgium,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League A, Group 1",4,Türkiye,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League A, Group 2",1,Germany,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League A, Group 2",2,Netherlands,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League A, Group 2",3,Serbia,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League A, Group 2",4,Greece,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League A, Group 3",1,Spain,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League A, Group 3",2,Croatia,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League A, Group 3",3,England,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League A, Group 3",4,Czechia,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League A, Group 4",1,Portugal,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League A, Group 4",2,Denmark,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League A, Group 4",3,Norway,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League A, Group 4",4,Wales,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League B, Group 1",1,Scotland,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League B, Group 1",2,Switzerland,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League B, Group 1",3,Slovenia,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League B, Group 1",4,North Macedonia,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League B, Group 2",1,Hungary,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League B, Group 2",2,Ukraine,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League B, Group 2",3,Georgia,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League B, Group 2",4,Northern Ireland,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League B, Group 3",1,Israel,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League B, Group 3",2,Austria,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League B, Group 3",3,Ireland,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League B, Group 3",4,Kosovo,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League B, Group 4",1,Poland,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League B, Group 4",2,Bosnia & Herzegovina,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League B, Group 4",3,Romania,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League B, Group 4",4,Sweden,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League C, Group 1",1,Albania,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League C, Group 1",2,Finland,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League C, Group 1",3,Belarus,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League C, Group 1",4,San Marino,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League C, Group 2",1,Latvia,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League C, Group 2",2,Montenegro,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League C, Group 2",3,Armenia,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League C, Group 2",4,Cyprus,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League C, Group 3",1,Kazakhstan,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League C, Group 3",2,Slovakia,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League C, Group 3",3,Faroe Islands,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League C, Group 3",4,Moldova,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League C, Group 4",1,Luxembourg,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League C, Group 4",2,Iceland,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League C, Group 4",3,Bulgaria,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League C, Group 4",4,Estonia,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League D, Group 1",1,Gibraltar,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League D, Group 1",2,Malta,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League D, Group 1",3,Andorra,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League D, Group 2",1,Lithuania,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League D, Group 2",2,Azerbaijan,0,0,0,0,0,0,,0
UEFA Nations League,"UEFA Nations League 26/27, League D, Group 2",3,Liechtenstein,0,0,0,0,0,0,,0
World Cup Qual. AFC,"AFC Qualification, Round 2, Group A",1,Qatar,6,5,1,0,18,3,,16
World Cup Qual. AFC,"AFC Qualification, Round 2, Group A",2,Kuwait,6,2,1,3,6,6,,7
World Cup Qual. AFC,"AFC Qualification, Round 2, Group A",3,India,6,1,2,3,3,7,,5
World Cup Qual. AFC,"AFC Qualification, Round 2, Group A",4,Afghanistan,6,1,2,3,3,14,,5
World Cup Qual. AFC,"AFC Qualification, Round 2, Group B",1,Japan,6,6,0,0,24,0,,18
World Cup Qual. AFC,"AFC Qualification, Round 2, Group B",2,North Korea,6,3,0,3,11,7,,9
World Cup Qual. AFC,"AFC Qualification, Round 2, Group B",3,Syria,6,2,1,3,9,12,,7
World Cup Qual. AFC,"AFC Qualification, Round 2, Group B",4,Myanmar,6,0,1,5,3,28,,1
World Cup Qual. AFC,"AFC Qualification, Round 2, Group C",1,South Korea,6,5,1,0,20,1,,16
World Cup Qual. AFC,"AFC Qualification, Round 2, Group C",2,China,6,2,2,2,9,9,,8
World Cup Qual. AFC,"AFC Qualification, Round 2, Group C",3,Thailand,6,2,2,2,9,9,,8
World Cup Qual. AFC,"AFC Qualification, Round 2, Group C",4,Singapore,6,0,1,5,5,24,,1
World Cup Qual. AFC,"AFC Qualification, Round 2, Group D",1,Oman,6,4,1,1,11,2,,13
World Cup Qual. AFC,"AFC Qualification, Round 2, Group D",2,Kyrgyzstan,6,3,2,1,13,7,,11
World Cup Qual. AFC,"AFC Qualification, Round 2, Group D",3,Malaysia,6,3,1,2,9,9,,10
World Cup Qual. AFC,"AFC Qualification, Round 2, Group D",4,Chinese Taipei,6,0,0,6,2,17,,0
World Cup Qual. AFC,"AFC Qualification, Round 2, Group E",1,Iran,6,4,2,0,16,4,,14
World Cup Qual. AFC,"AFC Qualification, Round 2, Group E",2,Uzbekistan,6,4,2,0,13,4,,14
World Cup Qual. AFC,"AFC Qualification, Round 2, Group E",3,Turkmenistan,6,0,2,4,4,14,,2
World Cup Qual. AFC,"AFC Qualification, Round 2, Group E",4,Hong Kong,6,0,2,4,4,15,,2
World Cup Qual. AFC,"AFC Qualification, Round 2, Group F",1,Iraq,6,6,0,0,17,2,,18
World Cup Qual. AFC,"AFC Qualification, Round 2, Group F",2,Indonesia,6,3,1,2,8,8,,10
World Cup Qual. AFC,"AFC Qualification, Round 2, Group F",3,Vietnam,6,2,0,4,6,10,,6
World Cup Qual. AFC,"AFC Qualification, Round 2, Group F",4,Philippines,6,0,1,5,3,14,,1
World Cup Qual. AFC,"AFC Qualification, Round 2, Group G",1,Jordan,6,4,1,1,16,4,,13
World Cup Qual. AFC,"AFC Qualification, Round 2, Group G",2,Saudi Arabia,6,4,1,1,12,3,,13
World Cup Qual. AFC,"AFC Qualification, Round 2, Group G",3,Tajikistan,6,2,2,2,11,7,,8
World Cup Qual. AFC,"AFC Qualification, Round 2, Group G",4,Pakistan,6,0,0,6,1,26,,0
World Cup Qual. AFC,"AFC Qualification, Round 2, Group H",1,United Arab Emirates,6,5,1,0,16,2,,16
World Cup Qual. AFC,"AFC Qualification, Round 2, Group H",2,Bahrain,6,3,2,1,11,3,,11
World Cup Qual. AFC,"AFC Qualification, Round 2, Group H",3,Yemen,6,1,2,3,5,9,,5
World Cup Qual. AFC,"AFC Qualification, Round 2, Group H",4,Nepal,6,0,1,5,2,20,,1
World Cup Qual. AFC,"AFC Qualification, Round 2, Group I",1,Australia,6,6,0,0,22,0,,18
World Cup Qual. AFC,"AFC Qualification, Round 2, Group I",2,Palestine,6,2,2,2,6,6,,8
World Cup Qual. AFC,"AFC Qualification, Round 2, Group I",3,Lebanon,6,1,3,2,5,8,,6
World Cup Qual. AFC,"AFC Qualification, Round 2, Group I",4,Bangladesh,6,0,1,5,1,20,,1
World Cup Qual. AFC,"AFC Qualification, Round 3, Group A",1,Iran,10,7,2,1,19,8,,23
World Cup Qual. AFC,"AFC Qualification, Round 3, Group A",2,Uzbekistan,10,6,3,1,14,7,,21
World Cup Qual. AFC,"AFC Qualification, Round 3, Group A",3,United Arab Emirates,10,4,3,3,15,8,,15
World Cup Qual. AFC,"AFC Qualification, Round 3, Group A",4,Qatar,10,4,1,5,17,24,,13
World Cup Qual. AFC,"AFC Qualification, Round 3, Group A",5,Kyrgyzstan,10,2,2,6,12,18,,8
World Cup Qual. AFC,"AFC Qualification, Round 3, Group A",6,North Korea,10,0,3,7,9,21,,3
World Cup Qual. AFC,"AFC Qualification, Round 3, Group B",1,South Korea,10,6,4,0,20,7,,22
World Cup Qual. AFC,"AFC Qualification, Round 3, Group B",2,Jordan,10,4,4,2,16,8,,16
World Cup Qual. AFC,"AFC Qualification, Round 3, Group B",3,Iraq,10,4,3,3,9,9,,15
World Cup Qual. AFC,"AFC Qualification, Round 3, Group B",4,Oman,10,3,2,5,9,14,,11
World Cup Qual. AFC,"AFC Qualification, Round 3, Group B",5,Palestine,10,2,4,4,10,13,,10
World Cup Qual. AFC,"AFC Qualification, Round 3, Group B",6,Kuwait,10,0,5,5,7,20,,5
World Cup Qual. AFC,"AFC Qualification, Round 3, Group C",1,Japan,10,7,2,1,30,3,,23
World Cup Qual. AFC,"AFC Qualification, Round 3, Group C",2,Australia,10,5,4,1,16,7,,19
